	BLOCKID10	First_POI	Second_POI	Third_POI	Fourth_POI	Fifth_POI	ARPCIncome	ARPerHEdu	ARPerWork	ARPerRMI5L	ARPer3MU	ARPopDen	ARPerAA	ARHeteInx	ARPerM1724	ARPerHOwn	ARPerSF	NIBRSclass	Place2	Report_Dat	Street_Nam
290	371190058151011	PIPER GLEN MAINTENANCE LLC	CAMPANIA	SALON PIPER GLEN	SENOR TEQUILAS MEXICAN RESTAURANT	FIRENZE RISTORANTE & BAR	inc-13/15	edu-2/15	empl-11/15	lt5y-4/15	3mu-6/12	popden-1/15	afro-1/13	hetero-2/14	youngm-8/14	own-12/15	sinpar-4/15	Credit Card/Teller Fraud	Apartment/Duplex Private Res	11-2x	BIRKDALE VALLEY
80	371190030161011	HALAS ARBORISTS	MOL AMERICA INC	KENEFICK & CO CPA PA	ADVANCED COATINGS INC	FISERV GALAXY PLUS	inc-11/15	edu-11/15	empl-7/15	lt5y-13/15	3mu-10/12	popden-6/15	afro-4/13	hetero-7/14	youngm-7/14	own-15/15	sinpar-6/15	Credit Card/Teller Fraud	Apartment/Duplex Private Res	04-0x	ARBORETUM
168	371190053011004	CIRCLE K	CAROLINA DEMOLITION	URBAN REALTY	BRAD F ICARD	CORI'S HAIR SALON	inc-4/15	edu-5/15	empl-5/15	lt5y-13/15	3mu-11/12	popden-4/15	afro-3/13	hetero-10/14	youngm-8/14	own-5/15	sinpar-4/15	Credit Card/Teller Fraud	Gas Station	08-0x	GRAHAM
188	371190047001015	PRUTECH SOLUTIONS INC	BLANCHARD COMMUNICATIONS INC	RONALD MCDONALD HOUSE OF CHARLOTTE	THE MARKETING CONSORTIUM INC	FIA CARD SERVICES NA	inc-2/15	edu-15/15	empl-2/15	lt5y-8/15	3mu-6/12	popden-3/15	afro-11/13	hetero-2/14	youngm-13/14	own-7/15	sinpar-10/15	Credit Card/Teller Fraud	Financial Institution	08-2x	TRADE
305	371190051002012	HOWEY BROTHERS CLEANING SVC	BIRS CO	LOVE WRECKER SVC	FLOWERS BY LOIS (A CORP)	ANDERTON BARBER SHOP	inc-10/15	edu-3/15	empl-2/15	lt5y-5/15	3mu-5/12	popden-7/15	afro-13/13	hetero-2/14	youngm-6/14	own-8/15	sinpar-7/15	Credit Card/Teller Fraud	Private Residence	12-0x	DRUID
215	371190028002008	BISSELL HAYES REALTORS INC	ROSEANN W HILL	REGENESIS MEDICAL SPA	BUCKLEY MCMULLEN & BUIE PA	SHARON UNITED METHODIST CHURCH	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	ATM	09-2x	SHARON
59	371190043022020	CHARLOTTE FIRE DEPT	CORNERSTONE WAY-THE CROSS CHR	K & M AUTO REPAIR	A-1 CLEAN-UP & MOVERS INC	A-1 MOVERS	inc-5/15	edu-10/15	empl-6/15	lt5y-9/15	3mu-8/12	popden-11/15	afro-10/13	hetero-6/14	youngm-4/14	own-3/15	sinpar-15/15	Credit Card/Teller Fraud	Government Building	03-1x	GLENWOOD
223	371190038023010	ALDI NC LLC	INTERSTATE ROOFING CO	GOLD CLUB	CHINA KINGS BUFFET	park	inc-6/15	edu-1/15	empl-7/15	lt5y-3/15	3mu-1/12	popden-1/15	afro-6/13	hetero-9/14	youngm-11/14	own-2/15	sinpar-14/15	Credit Card/Teller Fraud	Grocery Store/Supermarket	10-0x	OLD PINEVILLE
108	371190031032017	PINEWOOD ELEMENTARY	LARS HEDENBORG INC	LEARNING COMMUNITY SOUTH	MADISON PARK COMMUNITY CHURCH	BETH SMITH REALTY INC	inc-11/15	edu-2/15	empl-14/15	lt5y-6/15	3mu-4/12	popden-2/15	afro-1/13	hetero-14/14	youngm-3/14	own-11/15	sinpar-12/15	Credit Card/Teller Fraud	Private Residence	05-0x	WEDGEWOOD
205	371190028002008	MARMI	LIZ CLAIBORNE	BILLY REID	LENSCRAFTERS	CARLYLE & COMPANY	inc-14/15	edu-8/15	empl-4/15	lt5y-2/15	3mu-2/12	popden-11/15	afro-1/13	hetero-4/14	youngm-1/14	own-14/15	sinpar-1/15	Credit Card/Teller Fraud	Shopping Mall	09-1x	SHARON
263	371190038023010	POP SHOPPE	POP SHOPPE	MCKOYS SMOKEHOUSE & SALOON	BOJANGLES RESTAURANTS INC	CAROLINA PRIME STEAKHOUSE	inc-6/15	edu-1/15	empl-7/15	lt5y-3/15	3mu-1/12	popden-1/15	afro-6/13	hetero-9/14	youngm-11/14	own-2/15	sinpar-14/15	Credit Card/Teller Fraud	ATM	10-1x	OLD PINEVILLE
147	371190058111006	GALLAGHER SYSTEMS GROUP INC	DISHA INC	SHIREY EQUIPMENT CO	FIRST COLLATERAL SERVICES INC	HUBSCRUB OF NORTH CAROLINA	inc-11/15	edu-6/15	empl-13/15	lt5y-1/15	3mu-2/12	popden-4/15	afro-3/13	hetero-7/14	youngm-5/14	own-13/15	sinpar-4/15	Credit Card/Teller Fraud	Private Residence	06-2x	CHARTER BROOK
